inv_ck,inv_name,inv_desc,child_ind,inv_type,equip_location,rarity,icon_path,weight_lbs
20,Amulet of Dawn,Amulet radiating faint warm light,0,Trinket,Neck,Uncommon,armor/robe.png,0
21,Wand of Frostbite,Releases a chilling icy pulse,0,Weapon,Hand,Uncommon,accessories/ring.png,1
22,Gloves of Sure Grip,Leather gloves enhancing grasp strength,0,Clothing,Hands,Common,items/unstable_orb.png,3
23,Herbalist Pouch,Small pouch with mixed reagents,0,Utility,None,Common,weapons/plain_dagger.png,7
24,Ring of Minor Warding,Ring offering faint magical shielding,0,Trinket,Finger,Uncommon,armor/boots.png,0
25,Tonic of Clarity,Brew that sharpens the mind briefly,0,Consumable,None,Common,accessories/necklace.png,0
26,Chain Shirt,Interlinked metal shirt offering solid defense,0,Armor,Torso,Common,armor/robe.png,1
27,Crude Spear,Simple hunting spear with stone tip,0,Weapon,Hand,Common,uncertainty.png,5
28,Arcane Focus Crystal,Crystal that channels spell energy,0,Utility,Hand,Uncommon,accessories/ring.png,0
29,Satchel of Mapping,Satchel containing magically shifting maps,0,Utility,None,Rare,weapons/wizard_staff.png,2
30,Silvered Axe,Weapon effective against certain creatures,0,Weapon,Hand,Uncommon,items/unstable_orb.png,7
31,Torchstone,Compact stone emitting steady light,0,Utility,None,Common,weapons/plain_dagger.png,2
32,Potion of Resistance,Tonic granting mild resistance to elements,0,Consumable,None,Uncommon,armor/boots.png,4
33,Holy Icon of Aroden,Symbol bearing faint divine resonance,0,Trinket,Neck,Uncommon,accessories/necklace.png,9
34,Sturdy Riding Saddle,Well-crafted saddle for mounted travel,0,Utility,None,Common,armor/robe.png,0
35,Thieves' Toolkit,Essential picks and wires for locks,0,Utility,None,Common,items/unstable_orb.png,1
36,Bracers of Striking,Bracers enhancing unarmed blows,0,Armor,Arms,Uncommon,weapons/wizard_staff.png,5
37,Ring of Whisperwind,Allows soft messages to travel farther,0,Trinket,Finger,Rare,accessories/ring.png,7
38,Enchanted Paint Vial,Paint that glows when danger is near,0,Utility,None,Uncommon,armor/boots.png,0
39,Firebomb Flask,Explosive flask igniting on impact,0,Consumable,None,Uncommon,weapons/plain_dagger.png,5
40,Padded Armor,Light protective armor of layered cloth,0,Armor,Torso,Common,accessories/necklace.png,4
41,Ironwood Staff,Toughened staff made from magically treated wood,0,Weapon,Hand,Common,uncertainty.png,2
42,Elixir of Stamina,Boosts endurance for a short period,0,Consumable,None,Common,items/unstable_orb.png,3
43,Mask of Shadowveil,Mask helping blend into darkness,0,Clothing,Head,Uncommon,weapons/wizard_staff.png,4
44,Crystal Lens,Lens improving distant sight slightly,0,Utility,None,Common,armor/robe.png,3
45,Hunter’s Trap,Mechanical trap for small beasts,0,Utility,None,Common,armor/boots.png,3
46,Radiant Pendant,Pendant glowing with soft healing light,0,Trinket,Neck,Rare,accessories/ring.png,3
47,Iron Gauntlets,Heavy gauntlets for armored combat,0,Armor,Hands,Common,weapons/plain_dagger.png,7
48,Zephyr Ring,Lightweight ring granting airy movements,0,Trinket,Finger,Uncommon,uncertainty.png,0
49,Alchemist’s Fire,Flask that burns intensely on contact,0,Consumable,None,Uncommon,weapons/wizard_staff.png,7
50,Featherlight Cloak,Cloak allowing gentle gliding from heights,0,Clothing,Back,Rare,armor/boots.png,5
51,Runestone of Insight,Stone granting flashes of brief insight,0,Utility,None,Rare,accessories/ring.png,3
52,Herald’s Horn,Horn amplifying sound with magical resonance,0,Utility,None,Uncommon,armor/robe.png,8
53,Rune-Etched Greataxe,Massive axe bearing battle-runes,0,Weapon,Hand,Rare,items/unstable_orb.png,3
54,Shield of Barkskin,Wooden shield hard as iron,0,Armor,Hand,Uncommon,accessories/necklace.png,6
55,Glowing Ink Capsule,Ink visible only under moonlight,0,Utility,None,Common,uncertainty.png,4
56,Studded Leather Armor,Leather reinforced with metal studs,0,Armor,Torso,Common,weapons/plain_dagger.png,7
57,Druidic Charm,Nature-blessed charm offering mild protection,0,Trinket,Neck,Uncommon,armor/boots.png,0
58,Arcane Rune Banner,Banner that bolsters allies slightly,0,Utility,None,Rare,weapons/wizard_staff.png,9
59,Iron Pike,A long polearm suited for formation fighting,0,Weapon,Hand,Common,accessories/necklace.png,3
60,Elixir of Boldness,Potion instilling temporary bravery,0,Consumable,None,Common,weapons/plain_dagger.png,1
61,Tome of Lost Paths,A thick book containing obscure lore,0,Utility,None,Rare,accessories/ring.png,7
62,Shadowglass Dagger,Dark blade that absorbs faint light,0,Weapon,Hand,Rare,armor/boots.png,5
63,Healer’s Bandage Kit,Set of treated bandages and salves,0,Utility,None,Common,uncertainty.png,3
64,Runic Wristband,Wristband that steadies magical focus,0,Trinket,Arms,Uncommon,armor/robe.png,9
65,Gyro-Compass,Small device always pointing north,0,Utility,None,Common,items/unstable_orb.png,3
66,Elvenleaf Jerkin,Jerkin woven from enchanted leaves,0,Armor,Torso,Uncommon,weapons/wizard_staff.png,9
