inv_trans_ck,inv_ck,char_ck,val
305,53,1,-1
306,59,1,-3
307,40,1,3
308,52,1,-1
309,40,1,2
310,9,1,4
311,63,1,2
312,10,1,3
313,64,1,2
314,43,1,5
315,55,1,-5
316,19,1,-1
317,41,1,0
318,39,1,2
319,53,1,5
320,55,1,-1
321,36,1,-3
322,37,1,-2
323,27,1,0
324,27,1,-3
325,29,1,-2
326,48,1,-1
327,4,1,0
328,54,1,0
329,38,1,-2
330,32,1,-5
331,21,1,-2
332,12,1,-5
333,34,1,4
334,17,1,3
335,47,1,-5
336,64,1,-2
337,7,1,3
338,39,1,5
339,11,1,1
340,66,1,-4
341,41,1,-2
342,27,1,1
343,28,1,-3
344,25,1,-1
345,51,1,4
346,21,1,3
347,62,1,1
348,58,1,-5
349,14,1,5
350,35,1,-3
351,43,1,3
352,36,1,-4
353,29,1,-5
354,62,1,0
355,16,1,5
356,44,1,3
357,39,1,1
358,4,1,-5
359,8,1,-5
360,55,1,-2
361,22,1,2
362,62,1,-4
363,52,1,2
364,51,1,-1
365,28,1,1
366,22,1,4
367,11,1,4
368,45,1,-4
369,2,1,-2
370,47,1,5
371,4,1,2
372,58,1,-3
373,18,1,4
374,44,1,2
375,15,1,4
376,55,1,3
377,35,1,5
378,66,1,3
379,5,1,-4
380,64,1,3
381,62,1,-3
382,58,1,3
383,48,1,0
384,34,1,-3
385,65,1,1
386,1,1,4
387,34,1,2
388,27,1,5
389,3,1,5
390,48,1,2
391,33,1,-2
392,19,1,3
393,19,1,-2
394,7,1,-4
395,30,1,-5
396,58,1,1
397,38,1,5
398,34,1,1
399,8,1,2
400,3,1,5
401,55,1,-4
402,21,1,-4
403,58,1,1
404,2,1,0
405,17,1,2
406,50,1,2
407,54,1,-5
408,31,1,-2
409,54,1,-2
410,31,1,4
411,1,1,2
412,34,1,2
413,6,1,2
414,34,1,-5
415,32,1,1
416,40,1,-5
417,18,1,-2
418,51,1,3
419,23,1,-3
420,40,1,-5
421,46,1,-1
422,54,1,2
423,22,1,3
424,57,1,-4
425,5,1,2
426,10,1,0
427,8,1,0
428,48,1,-4
429,57,1,1
430,10,1,4
431,17,1,-4
432,23,1,3
433,14,1,-5
434,55,1,-1
435,17,1,-3
436,20,1,-1
437,14,1,3
438,39,1,3
439,48,1,0
440,43,1,5
441,56,1,0
442,13,1,-2
443,53,1,-4
444,10,1,1
445,61,1,-1
446,23,1,-1
447,17,1,4
448,15,1,5
449,15,1,-5
450,28,1,5
451,54,1,-1
452,39,1,-5
453,31,1,5
454,54,1,-4
455,29,1,4
456,46,1,-4
457,65,1,3
458,11,1,-3
459,2,1,-1
460,21,1,0
461,58,1,0
462,1,1,4
463,66,1,-5
464,24,1,5
465,45,1,-5
466,46,1,5
467,59,1,0
468,42,1,3
469,38,1,1
470,39,1,2
471,45,1,-1
472,65,1,5
473,57,1,0
474,14,1,4
475,30,1,-5
476,8,1,0
477,62,1,-1
478,12,1,4
479,50,1,0
480,50,1,-3
481,33,1,-5
482,50,1,-1
483,25,1,-4
484,39,1,2
485,64,1,1
486,31,1,1
487,13,1,-2
488,57,1,3
489,4,1,-3
490,7,1,0
491,66,1,-1
492,41,1,3
493,9,1,0
494,33,1,0
495,58,1,-5
496,30,1,-2
497,7,1,-3
498,48,1,5
499,60,1,5
500,57,1,-1
501,33,1,-5
502,3,1,-5
503,3,1,2
504,8,1,-5
505,51,1,-4
506,66,1,4
507,59,1,-5
508,55,1,0
509,28,1,4
510,51,1,3
511,56,1,-3
512,4,1,2
513,29,1,4
514,7,1,3
515,24,1,5
516,41,1,5
517,60,1,3
518,65,1,-5
519,26,1,0
520,63,1,4
521,54,1,-1
522,38,1,3
523,29,1,-2
524,65,1,4
525,44,1,-4
526,24,1,4
527,23,1,1
528,51,1,2
529,59,1,-2
530,34,1,2
531,49,1,-2
532,21,1,2
533,63,1,3
534,54,1,-5
535,14,1,-1
536,64,1,-4
537,35,1,0
538,24,1,-5
539,11,1,4
540,28,1,3
541,30,1,-4
542,43,1,0
543,6,1,-4
544,32,1,3
545,55,1,-3
546,28,1,3
547,65,1,3
548,50,1,5
549,60,1,-2
550,44,1,0
551,34,1,-4
552,5,1,-3
553,44,1,5
554,65,1,3
555,63,1,2
556,24,1,2
557,24,1,4
558,60,1,3
559,40,1,3
560,19,1,1
561,51,1,3
562,19,1,3
563,19,1,0
564,4,1,4
565,22,1,1
566,18,1,3
567,26,1,5
568,49,1,1
569,31,1,-3
570,21,1,-3
571,44,1,4
572,10,1,-4
573,27,1,-5
574,39,1,-2
575,27,1,1
576,24,1,1
577,37,1,-2
578,64,1,1
579,39,1,5
580,19,1,4
581,65,1,4
582,9,1,1
583,63,1,-4
584,17,1,1
585,38,1,1
586,1,1,2
587,13,1,4
588,46,1,-4
589,23,1,-5
590,42,1,1
591,18,1,0
592,54,1,-2
593,37,1,-4
594,19,1,1
595,51,1,-4
596,27,1,4
597,66,1,-1
598,26,1,-4
599,18,1,-4
600,14,1,2
601,21,1,-5
602,16,1,-1
603,28,1,2
604,19,1,0
605,59,1,5
606,3,1,-1
607,29,1,-2
608,17,1,-4
609,61,1,0
610,27,1,0
611,30,1,-3
612,63,1,-1
613,53,1,3
614,6,1,-3
615,42,1,-5
616,6,1,1
617,21,1,-1
618,59,1,4
619,29,1,-2
620,25,1,3
621,31,1,0
622,31,1,-5
623,25,1,0
624,59,1,0
625,8,1,5
626,42,1,4
627,66,1,5
628,66,1,-1
629,3,1,4
630,27,1,-5
631,16,1,-3
632,50,1,1
633,60,1,-5
634,56,1,0
635,34,1,5
636,55,1,2
637,10,1,5
638,4,1,-3
639,49,1,2
640,52,1,2
641,63,1,-3
642,14,1,1
643,62,1,-5
644,49,1,-4
645,45,1,-2
646,7,1,4
647,50,1,-5
648,3,1,-4
649,50,1,-2
650,22,1,-4
651,65,1,-1
652,9,1,-5
653,65,1,0
654,33,1,5
655,7,1,2
656,6,1,-2
657,23,1,-5
658,40,1,4
659,19,1,-5
660,51,1,5
661,48,1,-5
662,26,1,4
663,27,1,4
664,9,1,-4
665,55,1,5
666,14,1,0
667,58,1,3
668,3,1,1
669,66,1,-3
670,65,1,-3
671,43,1,5
672,41,1,-1
673,58,1,-3
674,58,1,-2
675,29,1,-4
676,9,1,5
677,10,1,5
678,56,1,-2
679,31,1,0
680,60,1,4
681,58,1,-1
682,5,1,-4
683,40,1,0
684,65,1,-3
685,25,1,0
686,23,1,0
687,46,1,-4
688,24,1,1
689,3,1,2
690,26,1,4
691,49,1,-1
692,19,1,5
693,45,1,-4
694,15,1,2
695,48,1,-3
696,12,1,-3
697,45,1,-4
698,48,1,0
699,60,1,-1
700,54,1,3
701,7,1,-5
702,13,1,-3
703,22,1,-5
704,4,1,4
705,66,1,-5
706,41,1,-4
707,66,1,-2
708,30,1,1
709,9,1,-3
710,39,1,4
711,45,1,-2
712,52,1,0
713,34,1,4
714,31,1,-1
715,47,1,1
716,13,1,2
717,56,1,-5
718,59,1,0
719,31,1,4
720,42,1,-2
721,48,1,-4
722,9,1,5
723,13,1,5
724,5,1,-5
725,21,1,-4
726,11,1,1
727,8,1,-2
728,3,1,-3
729,61,1,-1
730,64,1,4
731,7,1,-1
732,44,1,0
733,33,1,-2
734,66,1,3
735,40,1,1
736,9,1,1
737,23,1,3
738,53,1,-5
739,66,1,-1
740,40,1,-3
741,38,1,2
742,55,1,-5
743,50,1,-1
744,45,1,-1
745,45,1,4
746,58,1,-1
747,26,1,-1
748,1,1,5
749,64,1,-5
750,62,1,-3
751,29,1,-1
752,9,1,-4
753,37,1,-3
754,24,1,-4
755,40,1,5
756,47,1,-1
757,10,1,-5
758,24,1,4
759,19,1,1
760,50,1,1
761,26,1,5
762,37,1,3
763,59,1,2
764,31,1,1
765,9,1,3
766,36,1,2
767,11,1,2
768,26,1,-2
769,38,1,-3
770,57,1,5
771,17,1,-3
772,38,1,-1
773,60,1,-2
774,12,1,-1
775,18,1,5
776,53,1,-3
777,64,1,5
778,64,1,-3
779,18,1,-5
780,28,1,1
781,13,1,0
782,50,1,-5
783,25,1,-5
784,55,1,-5
785,65,1,-5
786,39,1,-1
787,51,1,-3
788,53,1,0
789,22,1,-3
790,44,1,-1
791,12,1,-1
792,1,1,5
793,17,1,4
794,25,1,1
795,19,1,2
796,18,1,-1
797,63,1,0
798,48,1,5
799,34,1,-1
800,49,1,-4
801,64,1,0
802,8,1,-2
803,25,1,-5
804,29,1,3
805,48,1,-2
806,18,1,5
807,32,1,-2
808,30,1,1
809,24,1,4
810,30,1,1
811,56,1,-5
812,45,1,2
813,24,1,3
814,65,1,4
815,59,1,1
816,15,1,-4
817,52,1,-1
818,53,1,-5
819,63,1,1
820,30,1,-2
821,40,1,4
822,30,1,-3
823,46,1,-5
824,6,1,3
825,43,1,4
826,17,1,1
827,30,1,5
828,25,1,-1
829,26,1,2
830,12,1,-2
831,22,1,-2
832,59,1,1
833,41,1,0
834,6,1,-3
835,7,1,2
836,10,1,-5
837,48,1,-3
838,35,1,-1
839,45,1,-1
840,35,1,2
841,34,1,2
842,50,1,-1
843,37,1,4
844,29,1,-1
845,21,1,1
846,15,1,1
847,14,1,0
848,24,1,-4
849,50,1,-5
850,57,1,-5
851,23,1,-4
852,40,1,0
853,27,1,-2
854,54,1,3
855,57,1,-4
856,19,1,-1
857,50,1,-4
858,62,1,2
859,30,1,-4
860,40,1,-5
861,19,1,5
862,3,1,0
863,48,1,3
864,1,1,3
865,45,1,-3
866,4,1,3
867,2,1,0
868,60,1,0
869,12,1,-1
870,19,1,-4
871,62,1,4
872,16,1,-4
873,24,1,-4
874,19,1,3
875,2,1,-4
876,1,1,3
877,58,1,-2
878,65,1,0
879,46,1,0
880,12,1,-4
881,23,1,5
882,1,1,1
883,42,1,-5
884,20,1,3
885,15,1,-1
886,11,1,-1
887,64,1,4
888,51,1,-1
889,4,1,1
890,26,1,3
891,1,1,4
892,25,1,-5
893,21,1,-2
894,33,1,-4
895,41,1,-3
896,26,1,-2
897,15,1,-2
898,28,1,1
899,36,1,-1
900,9,1,-2
901,52,1,2
902,57,1,-4
903,19,1,4
904,59,1,4
905,27,1,-3
906,8,1,-4
907,46,1,-2
908,12,1,3
909,53,1,-5
910,31,1,4
911,39,1,0
912,44,1,-5
913,61,1,-1
914,31,1,-4
915,36,1,3
916,34,1,5
917,56,1,1
918,44,1,0
919,16,1,-3
920,27,1,5
921,17,1,2
922,63,1,-5
923,37,1,3
924,17,1,5
925,2,1,5
926,49,1,5
927,15,1,0
928,25,1,1
929,40,1,5
930,64,1,-1
931,64,1,-5
932,5,1,-5
933,37,1,3
934,26,1,3
935,18,1,0
936,48,1,-1
937,20,1,4
938,50,1,-1
939,42,1,1
940,35,1,1
941,39,1,-1
942,22,1,4
943,48,1,0
944,7,1,-2
945,10,1,5
946,4,1,-1
947,41,1,0
948,8,1,5
949,29,1,5
950,31,1,2
951,17,1,-3
952,34,1,5
953,20,1,4
954,4,1,4
955,49,1,5
956,44,1,-5
957,65,1,-3
958,11,1,4
959,61,1,3
960,62,1,-5
961,20,1,0
962,33,1,-1
963,9,1,-4
964,7,1,2
965,42,1,4
966,30,1,5
967,9,1,3
968,31,1,1
969,20,1,0
970,30,1,-2
971,19,1,-2
972,11,1,2
973,48,1,2
974,20,1,-1
975,63,1,0
976,11,1,-5
977,2,1,-5
978,16,1,3
979,27,1,1
980,16,1,3
981,1,1,-5
982,34,1,5
983,65,1,4
984,64,1,-2
985,60,1,-2
986,2,1,-1
987,54,1,0
988,25,1,-2
989,10,1,-4
990,20,1,2
991,65,1,-4
992,29,1,-3
993,55,1,0
994,55,1,-1
995,62,1,3
996,14,1,-1
997,8,1,0
998,34,1,-3
999,4,1,-1
1000,66,1,-5
1001,55,1,-4
1002,38,1,-4
1003,25,1,-3
1004,54,1,-1
1005,1,1,-2
1006,19,1,-1
1007,19,1,3
1008,33,1,-4
1009,29,1,-2
1010,50,1,-1
1011,26,1,-5
1012,38,1,1
1013,48,1,-1
1014,17,1,1
1015,44,1,5
1016,57,1,2
1017,54,1,3
1018,41,1,3
1019,57,1,3
1020,45,1,-2
1021,4,1,-1
1022,53,1,5
1023,66,1,1
1024,15,1,4
1025,60,1,0
1026,54,1,4
1027,16,1,3
1028,19,1,3
1029,59,1,-3
1030,64,1,2
1031,13,1,-4
1032,12,1,1
1033,63,1,4
1034,31,1,-2
1035,3,1,1
1036,53,1,-3
1037,40,1,0
1038,16,1,1
1039,31,1,0
1040,52,1,3
1041,32,1,5
1042,8,1,-1
1043,48,1,-2
1044,37,1,0
1045,47,1,3
1046,59,1,2
1047,33,1,-5
1048,36,1,2
1049,13,1,-4
1050,31,1,1
1051,48,1,1
1052,24,1,3
1053,38,1,0
1054,39,1,-5
1055,33,1,4
1056,65,1,-5
1057,66,1,3
1058,2,1,3
1059,13,1,1
1060,10,1,-5
1061,21,1,1
1062,36,1,-5
1063,6,1,-5
1064,16,1,0
1065,13,1,1
1066,15,1,-3
1067,66,1,1
1068,2,1,2
1069,21,1,1
1070,35,1,1
1071,2,1,-4
1072,53,1,0
1073,11,1,1
1074,45,1,3
1075,2,1,0
1076,9,1,-3
1077,59,1,-5
1078,51,1,4
1079,45,1,-3
1080,21,1,-3
1081,39,1,-5
1082,56,1,5
1083,28,1,-3
1084,49,1,-4
1085,62,1,5
1086,57,1,1
1087,48,1,4
1088,14,1,-4
1089,49,1,5
1090,42,1,1
1091,61,1,4
1092,17,1,1
1093,45,1,4
1094,42,1,1
1095,50,1,1
1096,28,1,2
1097,15,1,-3
1098,33,1,3
1099,9,1,-5
1100,21,1,-1
1101,58,1,2
1102,24,1,-1
1103,48,1,4
1104,48,1,-1
1105,21,1,4
1106,28,1,-1
1107,47,1,-4
1108,23,1,1
1109,22,1,0
1110,58,1,-5
1111,8,1,4
1112,59,1,4
1113,31,1,-5
1114,32,1,-2
1115,35,1,-1
1116,11,1,-5
1117,38,1,4
1118,30,1,1
1119,10,1,-4
1120,51,1,0
1121,63,1,3
1122,24,1,0
1123,63,1,5
1124,20,1,0
1125,60,1,-1
1126,40,1,-1
1127,51,1,2
1128,26,1,0
1129,55,1,-5
1130,28,1,-2
1131,10,1,5
1132,48,1,2
1133,57,1,-3
1134,38,1,2
1135,32,1,2
1136,66,1,-5
1137,49,1,-4
1138,4,1,3
1139,66,1,0
1140,53,1,-4
1141,25,1,-1
1142,28,1,-5
1143,7,1,-1
1144,37,1,4
1145,15,1,5
1146,53,1,3
1147,52,1,-5
1148,56,1,-4
1149,39,1,0
1150,47,1,5
1151,25,1,4
1152,22,1,-1
1153,7,1,4
1154,5,1,3
1155,52,1,4
1156,42,1,2
1157,19,1,2
1158,23,1,-2
1159,53,1,2
1160,53,1,3
1161,56,1,-3
1162,63,1,-5
1163,4,1,-2
1164,10,1,0
1165,16,1,4
1166,29,1,4
1167,43,1,-3
1168,3,1,1
1169,19,1,-3
1170,41,1,3
1171,11,1,1
1172,54,1,1
1173,61,1,-1
1174,31,1,4
1175,35,1,2
1176,2,1,2
1177,56,1,5
1178,18,1,2
1179,4,1,1
1180,15,1,-2
1181,63,1,0
1182,2,1,-4
1183,19,1,3
1184,16,1,2
1185,63,1,-5
1186,17,1,-2
1187,53,1,5
1188,59,1,-4
1189,58,1,-5
1190,14,1,3
1191,27,1,5
1192,23,1,-4
1193,53,1,-4
1194,42,1,-4
1195,63,1,-4
1196,21,1,3
1197,16,1,-1
1198,16,1,2
1199,45,1,4
1200,2,1,0
1201,63,1,-3
1202,57,1,0
1203,13,1,-5
1204,59,1,3
1205,33,1,-2
1206,41,1,-2
1207,59,1,-3
1208,38,1,3
1209,54,1,1
1210,13,1,-4
1211,33,1,4
1212,65,1,3
1213,26,1,1
1214,10,1,-3
1215,59,1,2
1216,37,1,-4
1217,34,1,4
1218,15,1,-1
1219,2,1,0
1220,10,1,-5
1221,26,1,3
1222,40,1,-5
1223,23,1,4
1224,34,1,2
1225,34,1,2
1226,28,1,-5
1227,64,1,-2
1228,30,1,-5
1229,5,1,0
1230,46,1,-5
1231,33,1,-1
1232,26,1,1
1233,48,1,3
1234,55,1,5
1235,48,1,2
1236,3,1,1
1237,42,1,2
1238,17,1,1
1239,21,1,4
1240,16,1,-3
1241,13,1,-1
1242,57,1,1
1243,2,1,-3
1244,58,1,2
1245,28,1,0
1246,48,1,3
1247,23,1,3
1248,54,1,5
1249,43,1,2
1250,39,1,3
1251,2,1,4
1252,66,1,-1
1253,58,1,-2
1254,18,1,2
1255,63,1,-3
1256,22,1,4
1257,64,1,5
1258,1,1,-4
1259,38,1,-1
1260,54,1,-4
1261,15,1,1
1262,18,1,1
1263,34,1,-5
1264,35,1,3
1265,19,1,1
1266,16,1,1
1267,10,1,-3
1268,42,1,-4
1269,58,1,-2
1270,50,1,4
1271,39,1,2
1272,4,1,-4
1273,55,1,-1
1274,27,1,-1
1275,4,1,-4
1276,22,1,-1
1277,58,1,3
1278,26,1,-5
1279,9,1,2
1280,48,1,0
1281,4,1,4
1282,26,1,2
1283,63,1,2
1284,31,1,-5
1285,34,1,4
1286,35,1,-2
1287,25,1,0
1288,63,1,-3
1289,12,1,-4
1290,65,1,5
1291,60,1,-4
1292,11,1,5
1293,11,1,-3
1294,9,1,0
1295,13,1,-4
1296,45,1,-4
1297,39,1,1
1298,12,1,4
1299,13,1,-4
1300,50,1,0
1301,38,1,-3
1302,25,1,-5
1303,49,1,-4
1304,59,1,4
1305,14,1,5
1306,63,1,1
1307,14,1,-2
1308,16,1,-3
1309,36,1,0
1310,12,1,-1
1311,64,1,-1
1312,20,1,3
1313,9,1,-2
1314,54,1,0
1315,7,1,1
1316,15,1,2
1317,44,1,1
1318,46,1,-5
1319,41,1,2
1320,45,1,-1
1321,46,1,-5
1322,24,1,5
1323,42,1,1
1324,8,1,0
1325,47,1,-3
1326,5,1,5
1327,28,1,-5
1328,28,1,3
1329,60,1,3
1330,54,1,-4
1331,17,1,-4
1332,66,1,-5
1333,52,1,-3
1334,22,1,4
1335,37,1,-3
1336,25,1,0
1337,27,1,-5
1338,42,1,1
1339,65,1,-3
1340,32,1,2
1341,26,1,-4
1342,30,1,1
1343,44,1,-1
1344,24,1,-2
1345,14,1,4
1346,35,1,2
1347,20,1,5
1348,18,1,-4
1349,9,1,5
1350,2,1,5
1351,15,1,-1
1352,15,1,-5
1353,29,1,2
1354,64,1,2
1355,61,1,2
1356,43,1,-4
1357,52,1,-4
1358,27,1,-4
1359,39,1,-2
1360,7,1,-3
1361,48,1,-4
1362,35,1,-4
1363,28,1,2
1364,17,1,3
1365,53,1,5
1366,62,1,-2
1367,66,1,0
1368,63,1,-2
1369,26,1,-2
1370,59,1,1
1371,26,1,-4
1372,9,1,2
1373,17,1,5
1374,39,1,2
1375,37,1,-4
1376,11,1,-5
1377,54,1,-2
1378,55,1,4
1379,31,1,-5
1380,10,1,-1
1381,36,1,1
1382,49,1,0
1383,66,1,3
1384,17,1,-4
1385,52,1,5
1386,11,1,-5
1387,25,1,-2
1388,63,1,0
1389,48,1,-1
1390,24,1,-2
1391,20,1,1
1392,7,1,-5
1393,60,1,5
1394,65,1,-1
1395,16,1,2
1396,47,1,4
1397,46,1,4
1398,46,1,2
1399,46,1,2
1400,20,1,2
1401,24,1,0
1402,61,1,-5
1403,21,1,-2
1404,50,1,-1
1405,37,1,4
1406,48,1,-4
1407,1,1,1
1408,6,1,3
1409,27,1,0
1410,28,1,4
1411,66,1,-2
1412,63,1,-2
1413,14,1,5
1414,60,1,2
1415,46,1,0
1416,7,1,-5
1417,5,1,3
1418,66,1,-1
1419,39,1,4
1420,38,1,-2
1421,45,1,-5
1422,13,1,5
1423,50,1,-5
1424,44,1,-5
1425,55,1,-5
1426,42,1,-3
1427,41,1,3
1428,1,1,3
1429,59,1,4
1430,52,1,-2
1431,10,1,-2
1432,46,1,2
1433,12,1,-3
1434,19,1,-1
1435,37,1,-5
1436,44,1,4
1437,47,1,-5
1438,55,1,-2
1439,36,1,1
1440,2,1,1
1441,33,1,-2
1442,15,1,-1
1443,51,1,0
1444,62,1,3
1445,31,1,-4
1446,55,1,-3
1447,38,1,2
1448,39,1,4
1449,11,1,2
1450,38,1,-2
1451,7,1,-1
1452,51,1,3
1453,65,1,-4
1454,38,1,0
1455,21,1,-2
1456,6,1,2
1457,43,1,5
1458,25,1,3
1459,32,1,4
1460,24,1,4
1461,40,1,-5
1462,59,1,-5
1463,58,1,2
1464,40,1,-3
1465,52,1,4
1466,55,1,2
1467,12,1,2
1468,25,1,-5
1469,29,1,-4
1470,43,1,0
1471,16,1,-5
1472,8,1,-3
1473,48,1,-2
1474,1,1,-5
1475,35,1,-3
1476,11,1,1
1477,42,1,-2
1478,8,1,1
1479,41,1,-2
1480,47,1,1
1481,20,1,-2
1482,59,1,4
1483,58,1,-5
1484,10,1,-2
1485,24,1,1
1486,66,1,-1
1487,14,1,3
1488,38,1,5
1489,9,1,-3
1490,18,1,-3
1491,10,1,-4
1492,22,1,-4
1493,30,1,0
1494,43,1,-1
1495,45,1,2
1496,34,1,-1
1497,19,1,4
1498,57,1,0
1499,11,1,0
1500,39,1,-3
1501,50,1,1
1502,40,1,2
1503,8,1,4
1504,46,1,3
1505,39,1,-4
1506,10,1,5
1507,32,1,3
1508,5,1,-1
1509,18,1,-5
1510,63,1,-1
1511,17,1,-1
1512,30,1,5
1513,58,1,-4
1514,24,1,-5
1515,18,1,1
1516,33,1,-2
1517,49,1,4
1518,8,1,4
1519,50,1,3
1520,13,1,-3
1521,1,1,-2
1522,17,1,0
1523,36,1,2
1524,14,1,0
1525,44,1,0
1526,48,1,2
1527,24,1,-5
1528,7,1,-2
1529,11,1,2
1530,42,1,5
1531,6,1,5
1532,51,1,2
1533,19,1,-3
1534,65,1,-4
1535,30,1,-5
1536,48,1,-4
1537,49,1,2
1538,31,1,2
1539,10,1,-1
1540,5,1,-3
1541,1,1,5
1542,23,1,5
1543,57,1,-5
1544,46,1,-2
1545,34,1,0
1546,53,1,-4
1547,29,1,4
1548,2,1,2
1549,39,1,5
1550,63,1,0
1551,36,1,-2
1552,64,1,-4
1553,59,1,-1
1554,20,1,1
1555,58,1,2
1556,59,1,3
1557,53,1,-5
1558,34,1,-4
1559,61,1,3
1560,60,1,1
1561,54,1,-2
1562,41,1,-4
1563,36,1,-5
1564,47,1,3
1565,64,1,-1
1566,17,1,-4
1567,27,1,1
1568,53,1,3
1569,11,1,4
1570,24,1,2
1571,12,1,1
1572,5,1,2
1573,40,1,-1
1574,30,1,-3
1575,58,1,5
1576,64,1,-3
1577,6,1,-1
1578,54,1,-4
1579,49,1,-5
1580,41,1,-1
1581,32,1,-1
